ID;VALIDE;DATE;HEURE;LAT.;LONG.;PRECISION LIEU;TERRE/MER/AIR;ESPECE;PRECISION ESPECE;DAUPHIN SOLITAIRE;NOM DU DAUPHIN SOLITAIRE;NOMBRE;NOMBRE MINIMUM;NOMBRE MAXIMUM;SOURCE;ORGANISMES;RESEAUX
7507;oui;31/07/2016;20:00:00;48.359101;-4.797174;1;1;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Inconnu;GECC
7508;oui;31/07/2016;11:00:00;48.437529;-5.117345;1;1;Phoque gris;A;non;0;3;1;2;Formulaire en ligne;Inconnu;GECC
7511;oui;24/07/2016;09:15:00;48.48961;-4.93309;1;2;Petit rorqual;B;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7512;oui;26/07/2016;09:55:00;48.360141;-4.786365;1;2;Grand dauphin;A;non;0;1;1;2;Formulaire en ligne;Plaisancier;Aucun
7513;oui;27/07/2016;17:20:00;48.461767;-5.01711;1;2;Dauphin commun;A;non;0;4;1;2;Formulaire en ligne;Plaisancier;Aucun
7514;oui;02/08/2016;09:40:00;48.3595;-4.780288;1;1;Grand dauphin;A;oui;Randy;1;0;0;Formulaire en ligne;Plaisancier;Aucun
7515;oui;02/08/2016;13:35:00;48.396984;-4.949546;1;1;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Plaisancier;Aucun
7516;oui;03/08/2016;10:14:00;48.375409;-4.83506;1;2;Grand dauphin;A;non;0;1;3;4;Formulaire en ligne;Plaisancier;Aucun
7517;oui;03/08/2016;11:05:00;48.468369;-4.995197;1;2;Dauphin commun;A;non;0;1;5;6;Formulaire en ligne;Plaisancier;Aucun
7520;oui;29/07/2016;13:15:00;48.46038;-5.12969;1;1;Phoque gris;A;non;0;2;1;2;Formulaire en ligne;Plaisancier;Aucun
7523;oui;03/08/2016;16:35:00;48.418264;-4.908411;1;2;Dauphin commun;A;non;0;2;1;2;Formulaire en ligne;Plaisancier;Aucun
7524;oui;05/08/2016;10:50:00;48.426239;-4.963895;1;2;Dauphin commun;A;non;0;5;1;2;Formulaire en ligne;Plaisancier;Aucun
7525;oui;06/08/2016;09:00:00;48.342103;-4.806787;1;2;Grand dauphin;A;non;0;1;10;12;Formulaire en ligne;Plaisancier;Aucun
7526;oui;06/08/2016;09:35:00;48.412568;-4.918711;1;2;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Plaisancier;Aucun
7527;oui;06/08/2016;09:45:00;48.445372;-4.984285;1;2;Dauphin commun;A;non;0;3;1;2;Formulaire en ligne;Plaisancier;Aucun
7528;oui;06/08/2016;18:55:00;48.282736;-4.776157;1;2;Grand dauphin;A;non;0;1;8;10;Formulaire en ligne;Plaisancier;Aucun
7536;oui;10/08/2016;19:30:00;48.378145;-4.469055;1;1;Grand dauphin;A;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7538;oui;08/08/2016;09:55:00;48.37062;-4.824297;1;2;Grand dauphin;A;non;0;1;2;3;Formulaire en ligne;Plaisancier;Aucun
7539;oui;08/08/2016;11:05:00;48.45949;-5.018483;1;2;Dauphin commun;A;non;0;6;1;2;Formulaire en ligne;Plaisancier;Aucun
7540;oui;08/08/2016;13:37:00;48.479948;-5.072184;1;1;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Plaisancier;Aucun
7541;oui;08/08/2016;16:10:00;48.44264;-5.006258;1;2;Dauphin commun;A;non;0;2;1;2;Formulaire en ligne;Plaisancier;Aucun
7542;oui;08/08/2016;16:40:00;48.376777;-4.867481;1;2;Dauphin commun;A;non;0;4;1;2;Formulaire en ligne;Plaisancier;Aucun
7543;oui;09/08/2016;09:56:00;48.36104;-4.801503;1;2;Grand dauphin;A;non;0;4;1;2;Formulaire en ligne;Plaisancier;Aucun
7544;oui;09/08/2016;18:17:00;48.369479;-4.791203;1;1;Grand dauphin;A;non;0;2;1;2;Formulaire en ligne;Plaisancier;Aucun
7545;oui;11/08/2016;11:06:00;48.458807;-5.014498;1;2;Dauphin commun;A;non;0;12;1;2;Formulaire en ligne;Plaisancier;Aucun
7546;oui;12/08/2016;07:04:00;48.436874;-5.116127;1;1;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Plaisancier;Aucun
7551;oui;16/08/2016;17:50:00;48.40932;-4.941521;1;2;Phoque gris;A;non;0;2;1;2;Formulaire en ligne;Plaisancier;Aucun
7552;oui;16/08/2016;18:15:00;48.36697;-4.816401;1;2;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Plaisancier;Aucun
7555;oui;17/08/2016;08:45:00;48.3592;-4.783104;1;1;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7556;oui;17/08/2016;09:00:00;48.356933;-4.7853;1;1;Grand dauphin;A;non;0;1;15;20;Formulaire en ligne;Inconnu;Aucun
7557;oui;17/08/2016;05:35:00;48.396111;-4.898056;1;2;Phoque gris;A;non;0;3;1;2;Formulaire en ligne;Inconnu;Aucun
7558;oui;13/08/2016;09:45:00;48.448697;-4.931225;1;2;Dauphin commun;A;non;0;1;2;4;Formulaire en ligne;Inconnu;Aucun
7559;oui;13/08/2016;19:20:00;48.283239;-4.597402;1;2;Dauphin commun;A;non;0;1;15;20;Formulaire en ligne;Inconnu;Aucun
7560;oui;15/08/2016;17:30:00;48.334765;-4.615486;1;1;Grand dauphin;A;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7561;oui;12/08/2016;10:45:00;48.457168;-4.986156;1;1;Dauphin commun;A;non;0;1;12;15;Formulaire en ligne;Inconnu;Aucun
7562;oui;12/08/2016;12:15:00;48.447815;-5.140321;1;1;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7563;oui;17/08/2016;10:00:00;48.360686;-4.798761;1;1;Grand dauphin;A;non;0;1;4;6;Formulaire en ligne;Inconnu;Aucun
7564;oui;04/08/2016;14:00:00;48.376367;-4.949618;1;1;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7566;oui;18/08/2016;19:20:00;48.234578;-4.571074;1;1;Phoque gris;B;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7567;oui;18/08/2016;18:15:00;48.359443;-4.800645;1;2;Grand dauphin;A;non;0;1;20;25;Formulaire en ligne;Plaisancier;Aucun
7568;oui;19/08/2016;11:15:00;48.462336;-5.02123;1;2;Dauphin commun;A;non;0;3;1;2;Formulaire en ligne;Plaisancier;Aucun
7572;oui;20/08/2016;12:50:00;48.446061;-5.138452;1;1;Dauphin commun;A;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7578;oui;07/08/2016;12:52:00;48.482594;-5.070653;1;1;Phoque gris;A;non;0;3;1;2;Formulaire en ligne;Inconnu;Aucun
7580;oui;24/08/2016;10:55:00;48.452204;-5.002768;1;2;Dauphin commun;A;non;0;1;6;10;Formulaire en ligne;Inconnu;Aucun
7581;oui;24/08/2016;10:00:00;48.372444;-4.824162;1;2;Grand dauphin;A;non;0;12;1;2;Formulaire en ligne;Plaisancier;Aucun
7582;oui;24/08/2016;10:55:00;48.455255;-5.008604;1;2;Dauphin commun;A;non;0;1;6;10;Formulaire en ligne;Inconnu;Aucun
7585;oui;21/08/2016;17:00:00;48.743059;-4.108018;1;2;Dauphin commun;B;non;0;3;1;2;Email;Inconnu;Aucun
7597;oui;26/08/2016;09:55:00;48.363549;-4.809056;1;2;Grand dauphin;A;non;0;2;1;2;Formulaire en ligne;Plaisancier;Aucun
7598;oui;26/08/2016;10:55:00;48.4571;-5.01196;1;2;Dauphin commun;A;non;0;6;1;2;Formulaire en ligne;Plaisancier;Aucun
7599;oui;26/08/2016;20:10:00;48.462791;-5.015908;1;2;Dauphin commun;A;non;0;2;1;2;Formulaire en ligne;Plaisancier;Aucun
7601;oui;29/08/2016;12:25:00;48.466109;-5.10812;1;1;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Plaisancier;Aucun
7607;oui;29/07/2016;16:00:00;48.222385;-4.465525;1;2;Dauphin bleu et blanc;A;non;0;1;1;15;Formulaire en ligne;Inconnu;Aucun
7608;oui;30/07/2016;15:00:00;48.214379;-4.444239;1;2;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7609;oui;05/08/2016;11:25:00;48.213578;-4.432431;1;2;Dauphin de Risso;A;non;0;1;1;7;Formulaire en ligne;Inconnu;Aucun
7610;oui;05/08/2016;15:20:00;48.214608;-4.430162;1;2;Dauphin de Risso;A;non;0;1;1;7;Formulaire en ligne;Inconnu;Aucun
7618;oui;30/08/2016;16:02:00;48.369251;-4.774515;1;2;Grand dauphin;A;non;0;1;5;6;Formulaire en ligne;Inconnu;Aucun
7619;oui;29/08/2016;18:10:00;48.364233;-4.816744;1;2;Dauphin commun;A;non;0;4;1;2;Formulaire en ligne;Plaisancier;Aucun
7628;oui;25/08/2016;09:55:00;48.36031;-4.793783;1;2;Grand dauphin;A;non;0;1;2;3;Formulaire en ligne;Inconnu;Aucun
7629;oui;25/08/2016;18:00:00;48.387568;-4.891818;1;2;Grand dauphin;A;non;0;2;1;2;Formulaire en ligne;Inconnu;Aucun
7630;oui;26/07/2016;13:10:00;48.449705;-5.136437;1;1;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7631;oui;26/08/2016;19:00:00;48.476128;-5.049712;1;1;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7632;oui;27/08/2016;18:50:00;48.353814;-4.782525;1;1;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7633;oui;31/08/2016;19:40:00;48.410622;-4.79134;1;1;Phoque gris;A;non;0;1;1;2;Formulaire en ligne;Inconnu;Aucun
7722;oui;31/05/2015;17:00:00;48.13396;-4.276258;2;1;Phoque gris;A;non;0;1;1;2;Email;Inconnu;Aucun
7723;oui;12/06/2015;12:30:00;48.275;-4.516667;1;2;Dauphin de Risso;A;non;0;5;1;2;Email;Inconnu;Aucun
7724;oui;18/06/2015;13:00:00;48.093611;-4.959444;1;2;Marsouin commun;A;non;0;2;1;2;Email;Inconnu;Aucun
7725;oui;20/06/2015;12:30:00;48.101814;-4.337199;2;2;Dauphin de Risso;A;non;0;15;1;2;Email;Inconnu;Aucun
7726;oui;17/08/2015;11:00:00;48.038151;-4.860774;2;2;Dauphin commun;A;non;0;10;1;2;Email;Inconnu;Aucun
7727;oui;18/08/2015;11:00:00;48.040906;-4.857341;3;2;Dauphin commun;A;non;0;50;1;2;Email;Inconnu;Aucun
7728;oui;08/10/2015;11:15:00;47.989922;-4.845142;1;2;Dauphin commun;A;non;0;10;1;2;Email;Inconnu;Aucun
7729;oui;08/10/2015;12:05:00;48.114767;-4.856129;1;2;Dauphin commun;A;non;0;13;1;2;Email;Inconnu;Aucun
7730;oui;08/10/2015;14:00:00;48.114767;-5.053883;1;2;Dauphin commun;A;non;0;10;1;2;Email;Inconnu;Aucun
7731;oui;16/10/2015;12:30:00;48.213889;-4.534444;1;2;Marsouin commun;A;non;0;15;1;2;Email;Inconnu;Aucun
